MLS,Street,City,Bedrooms,Bathrooms,SqFt,List Price,Price/SqFt,County,Zone,Source,Date,URL
1071709, 656 Mi Tierra, Santa Maria,3,3,2178,465000,213.4986226, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071709
1071695, 3611 Cerrito, Santa Ynez,3,2,1467,639000,435.5828221, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071695
1068185, 1250 Hans Park, Solvang,3,2,1634,733000,448.5924113, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068185
1065153, 1247 Hans Park, Solvang,3,3,2168,799900,368.9575646, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1065153
1067643, 1490 Dove Meadow, Solvang,6,7,7386,2750000,372.3260222, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067643
1070460, 555 Crown Hill, Arroyo Grande,3,2,1900,639000,336.3157895, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070460
1070980, 2357 Bittern, Arroyo Grande,3,4,2888,849999,294.3209834, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070980
1071411, 382 Village Glen, Arroyo Grande,5,3,2781,939900,337.9719525, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071411
1067422, 4495 Lobos, Atascadero,3,3,1672,438900,262.5, SLO,3,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067422
1067012, 7115 San Gregorio, Atascadero,3,3,2280,589000,258.3333333, SLO,3,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067012
1068020, 6450 San Gabriel, Atascadero,4,3,2908,839000,288.5144429, SLO,3,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068020
1069620, 330 Highway 246, Buellton,2,2,1488,35000,23.52150538, Other,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069620
1068999, 2180 Sherwood, Cambria,3,3,2590,1395000,538.6100386, SLO,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068999
1069090, 716 Balboa, Grover Beach,3,2,2020,659900,326.6831683, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069090
1071535, 2660 Ontiveros, Los Olivos,5,4,-1,1395000,-1395000, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071535
1070541, 739 Bolen, Paso Robles,3,2,1865,450000,241.2868633, SLO,4,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070541
1071917, 1208 Grassy Hollow, Paso Robles,3,2,1921,498000,259.2399792, SLO,4,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071917
1067198, 4650 Blue Sage, Paso Robles,4,5,4577,1599000,349.355473, SLO,4,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067198
1070497, 111 Morro, Pismo Beach,3,2,1295,729000,562.9343629, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070497
1071141, 1807 Costa Brava, Pismo Beach,3,3,1749,895000,511.7209834, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071141
1070138, 3057 Higuera, San Luis Obispo,2,2,1488,215000,144.4892473, SLO,1,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070138
1068029, 1661 McCollum, San Luis Obispo,4,3,1971,899000,456.1136479, SLO,1,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068029
1067074, 172 Highland, San Luis Obispo,4,3,2266,939000,414.3865843, SLO,1,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067074
1070607, 606 Newlove, Santa Maria,2,2,1246,229900,184.5104334, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070607
1071451, 1914 Melanie, Santa Maria,3,2,1398,365000,261.0872675, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071451
1069608, 1327 Woodmere, Santa Maria,3,2,1538,379500,246.7490247, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069608
1071889, 726 Arthur, Santa Maria,3,2,1944,429000,220.6790123, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071889
1071665, 2865 Monte Verde, Santa Maria,3,2,2008,455000,226.5936255, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071665
1068428, 765 Mesa View, Arroyo Grande,3,2,1536,155000,100.9114583, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068428
1071485, 1472 Ash, Arroyo Grande,3,2,1364,482900,354.0322581, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071485
