ListingID,S,SubType,St#,StName,City,MLSArea,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,AcLSqft,DOM/CDOM,ViewYN,PoolPrivateYN,BAC,Contract Status Change Date,MLS
PI1072755,A,SFR/A,6710,Wittenberg Creek   ,ARRG,ARRG,,"$849,000 ",$352.28 ,"4/3,0,0,0",2410/A,2012,"69.84/3,042,230",25/25,Y,,2.5,11/3/16,CCR
SC1073005,A,SFR/D,1351,Newport AV  ,ARRG,ARRG,,"$849,000 ",$276.01 ,"4/3,0,0,0",3076/A,1960,"0.303/13,199",11-Nov,Y,,2,11/17/16,CCR
PI1070980,A,SFR/D,2357,Bittern ST  ,ARRG,ARRG,,"$849,999 ",$294.32 ,"3/3,0,1,0",2888/A,2002,"0.2632/11,465",79/79,Y,,2,9/10/16,CCR
SP1065253,A,SFR/A,505 W,Dos Cerros Corte AV  ,ARRG,ARRG,,"$857,000 ",$363.75 ,"3/2,0,1,0",2356/A,2000,"0.35/15,255",180/180,Y,,2.5,6/1/16,CCR
PI1067727,A,SFR/D,697,Avocet WY  ,ARRG,ARRG,,"$879,000 ",$277.55 ,"4/3,0,0,0",3167/A,2004,"0.2521/10,981",174/174,Y,,2.5,6/7/16,CCR
PI1063014,A,MANL/D,391,Corralitos RD  ,ARRG,ARRG,,"$899,000 ",$624.31 ,"5/2,1,0,0",1440/A,1980,"10.16/442,570",308/308,Y,,2.5,1/25/16,CCR
PI1067604,A,SFR/D,280,Acero   ,ARRG,ARRG,,"$899,000 ",$320.96 ,"4/2,1,1,0",2801/A,2001,"0.5352/23,313",178/178,Y,,2.5*,6/3/16,CCR
PI1070488,A,SFR/D,1212,Flora RD  ,ARRG,ARRG,,"$899,000 ",$483.33 ,"3/2,0,1,0",1860/A,1984,"5.1115/222,657",84/84,Y,,2.5,8/23/16,CCR
PI1072241,A,SFR/D,1160,Royal Oak PL  ,ARRG,ARRG,,"$899,000 ",$362.50 ,"3/1,1,1,0",2480/AP,0,"1.2459/54,271",40/40,Y,,2.5,10/19/16,CCR
PI1066550,A,SFR/D,113,Via Bandolero   ,ARRG,ARRG,,"$925,000 ",$297.05 ,"3/2,1,0,0",3114/A,1989,"0.4545/19,798",199/199,Y,,2.5,5/12/16,CCR
SC1070221,A,SFR/D,657,Matthew WY  ,ARRG,ARRG,,"$935,000 ",$350.84 ,"3/2,0,1,0",2665/A,1999,"0.3207/13,970",102/102,Y,,2.5,8/18/16,CCR
PI1071411,A,SFR/D,382,Village Glen DR  ,ARRG,ARRG,,"$939,900 ",$337.97 ,"5/2,1,0,0",2781/AP,2001,"0.4434/19,315",70/70,Y,,2.5,9/19/16,CCR
PI1071836,A,SFR/D,475,Via Las Aguilas   ,ARRG,ARRG,,"$964,950 ",$415.03 ,"3/2,0,1,0",2325/A,1996,"0.24/10,454",54/54,Y,,2,10/5/16,CCR
PI1069671,A,SFR/D,2155,Idyllwild PL  ,ARRG,ARRG,,"$988,000 ",$356.68 ,"4/3,0,0,0",2770/SEE,2003,"2.9/126,324",121/121,Y,,2.25,7/30/16,CCR
SP1062676,A,SFR/D,250,Mission Springs RD   #12,ARRG,ARRG,,"$1,085,000 ",$361.67 ,"4/3,0,1,0",3000/SEE,0,"1.03/44,867",309/309,Y,,1.5,1/24/16,CCR
PI1066877,A,SFR/D,1655,Chesapeake PL  ,ARRG,ARRG,,"$1,124,000 ",$435.49 ,"3/2,0,0,0",2581/A,1998,"2.48/108,029",194/194,Y,,2.5,5/16/16,CCR
PI1070111,A,SFR/D,2725,Hawk View CT  ,ARRG,ARRG,,"$1,125,000 ",$406.14 ,"4/3,1,0,0",2770/B,1998,"4.59/199,940",108/108,Y,,3,8/11/16,CCR
PI1068036,A,SFR/D,8425,Oyster Rock PL  ,ARRG,ARRG,,"$1,135,000 ",$448.44 ,"3/2,0,0,0",2531/A,1998,"41.27/1,797,721",167/167,Y,,2.5,6/14/16,CCR
PI1072582,A,SFR/D,2685,Belgian PL  ,ARRG,ARRG,,"$1,149,000 ",$346.19 ,"4/3,0,0,0",3319/A,1998,"1.5/65,340",26/26,Y,,2.5,11/2/16,CCR
PI1073089,A,SFR/D,2050,Oak WY  ,ARRG,ARRG,,"$1,149,000 ",$501.53 ,"3/2,0,0,0",2291/A,1987,"7/304,920",6-Jun,Y,,2.5,11/22/16,CCR
SC1071371,A,SFR/D,264,Grace LN  ,ARRG,ARRG,,"$1,195,000 ",$389.76 ,"4/3,0,1,0",3066/A,2012,"0.44/19,166",68/68,Y,,2.5,9/21/16,CCR
SC1068239,A,SFR/D,871,Noyes RD  ,ARRG,ARRG,,"$1,199,000 ",$341.79 ,"4/3,0,0,0",3508/A,1983,"3.12/135,907",105/105,Y,,2.5,6/20/16,CCR
PI1069932,A,SFR/D,357,Via Bandolero   ,ARRG,ARRG,,"$1,199,900 ",$368.75 ,"4/3,0,1,0",3254/SEE,0,"0.5/21,780",114/114,Y,,2.5,8/6/16,CCR
PI1072438,A,SFR/D,685,Via Bandolero   ,ARRG,ARRG,,"$1,225,000 ",$317.11 ,"4/1,3,0,0",3863/A,1991,"0.54/23,522",32/32,Y,,2,10/27/16,CCR
PI1072782,A,SFR/D,828,Noddy CT  ,ARRG,ARRG,,"$1,225,000 ",$320.68 ,"4/3,0,1,0",3820/A,2003,"0.318/13,852",18/18,Y,,2,11/10/16,CCR
PI1073020,A,SFR/D,661,Rosemary CT  ,ARRG,ARRG,,"$1,245,000 ",$377.27 ,"4/2,1,0,0",3300/SEE,0,"0.5989/26,088",10-Oct,Y,,2,11/18/16,CCR
PI1064690,A,SFR/D,2166,Lopez DR  ,ARRG,ARRG,,"$1,250,000 ",$482.25 ,"4/3,0,0,0",2592/A,2004,"17.58/765,785",257/257,Y,,2.5,3/16/16,CCR
SC1070265,A,SFR/D,185,Andre DR  ,ARRG,ARRG,,"$1,250,000 ",$390.75 ,"4/3,0,1,0",3199/S,2001,"0.3557/15,494",103/103,Y,Y,2.5,8/17/16,CCR
PI1070768,A,SFR/D,2298,Brant ST  ,ARRG,ARRG,,"$1,289,000 ",$295.57 ,"3/3,0,1,0",4361/A,2003,0,88/88,Y,,2.5,9/1/16,CCR
PI1069703,A,SFR/A,1381,Carpenter Canyon RD  ,ARRG,ARRG,,"$1,395,000 ",$465.00 ,"3/2,0,1,0",3000/S,1999,"8.88/386,813",121/121,Y,,2.5,7/30/16,CCR
PI1071591,A,SFR/D,450,Canyon WY  ,ARRG,ARRG,,"$1,585,000 ",$334.25 ,"4/4,0,1,1",4742/A,2008,"6.28/273,557",54/54,Y,,2.25,10/5/16,CCR
PI1071670,A,SFR/D,1084,Karina WY  ,ARRG,ARRG,,"$1,599,000 ",$338.34 ,"5/3,0,1,0",4726/A,1996,"2.5/108,900",59/59,Y,,2.5,9/30/16,CCR
PI1049042,A,SFR/D,777,Duntov DR  ,ARRG,ARRG,,"$1,785,000 ",$282.84 ,"6/4,0,1,0",6311/A,2002,"14.9/649,044",762/946,Y,,2.5,10/26/14,CCR
PI1054424,A,SFR/D,1275,Montecito Ridge DR  ,ARRG,ARRG,,"$1,799,000 ",$326.02 ,"4/3,0,1,0",5518/A,2008,"5/217,800",401/401,Y,,2.5,6/23/16,CCR
PI1068588,A,SFR/A,2375,Woodland Hills RD  ,ARRG,ARRG,,"$1,799,000 ",$288.26 ,"4/4,0,1,0",6241/A,2009,"10/435,600",151/151,Y,,2,6/30/16,CCR
PI1071043,A,SFR/D,2514,Huasna RD  ,ARRG,ARRG,,"$1,800,000 ",$709.22 ,"2/2,0,1,0",2538/S,1997,"42.38/1,846,073",82/846,Y,,2.5,9/7/16,CCR
SP1072514,A,SFR/D,2530,Softchess PL  ,ARRG,ARRG,,"$1,849,000 ",$546.39 ,"3/2,0,1,0",3384/A,1990,"1.48/64,469",29/29,Y,Y,2.5,10/30/16,CCR
SP1063809,A,SFR/D,1150,Button Sage WY  ,ARRG,ARRG,,"$1,850,000 ",$335.75 ,"5/4,2,1,0",5510/S,1989,"1.35/58,806",277/277,Y,Y,2.5,2/25/16,CCR
PI1072801,A,SFR/D,155,Piedra Springs RD  ,ARRG,ARRG,,"$2,099,000 ",$473.28 ,"5/5,0,1,0",4435/B,0,"1.71/74,488",18/18,Y,,2.5,11/10/16,CCR
SP1065730,A,SFR/D,255,Piedra Springs   ,ARRG,ARRG,,"$2,425,000 ",$577.66 ,"4/1,2,1,0",4198/A,2009,"1.99/86,684",227/227,Y,,2.5,4/15/16,CCR
SP1072177,A,SFR/D,7900,Cortez   ,ATSC,ATSC,,"$333,000 ",$277.50 ,"3/2,0,0,0",1200/A,1983,"0.1/4,356",42/42,Y,,3,10/17/16,CCR
