ListingID,S,SubType,St#,StreetName,City,MLSArea,SLC,Price,PricePerSquareFoot,BrBa,Sqft,YrBuilt,AcLSqft,DOMCDOM,ViewYN,PoolPrivateYN,BAC,ContractStatusChangeDate,MLS
SP1072470,A,SFR/D,925,Rachel CT  ,SLO,SLO,,"$783,988 ",$476.30 ,"3/2,1,0,0",1646/SEE,0,"0.1084/4,722",25/25,Y,,2.5,10/28/16,CCR
SP1072640,A,SFR/D,1320,Oceanaire DR  ,SLO,SLO,,"$799,000 ",$448.62 ,"2/2,0,0,0",1781/A,1975,"0.202/8,799",19/97,Y,,2,11/3/16,CCR
SP1073037,A,SFR/D,170,Ramona DR  ,SLO,SLO,,"$799,000 ",$449.89 ,"3/2,0,0,0",1776/A,1953,"0.1446/6,299",4-Apr,Y,,2.5,11/18/16,CCR
PI1068937,A,SFR/A,241,Bridge ST  ,SLO,SLO,,"$799,900 ",$475.00 ,"2/2,0,1,0",1684/B,0,"0.139/6,054",134/134,Y,,2,7/11/16,CCR
SP1072468,A,SFR/D,2172,Florence   ,SLO,SLO,,"$799,900 ",$446.12 ,"3/1,2,0,0",1793/SEE,2016,"0.1088/4,739",25/25,Y,,2.5*,10/28/16,CCR
SP1072469,A,SFR/A,947,Rachel CT  ,SLO,SLO,,"$801,822 ",$487.13 ,"3/2,1,0,0",1646/SEE,0,"0.1088/4,739",25/391,Y,,2.5,10/28/16,CCR
SC1070676,A,SFR/D,810,Del Rio   ,SLO,SLO,,"$815,000 ",$340.43 ,"5/3,0,0,0",2394/A,1978,"0.1832/7,980",82/82,Y,,2.5,9/1/16,CCR
SP1072522,A,SFR/D,948,Rachel CT  ,SLO,SLO,,"$815,573 ",$575.16 ,"3/1,2,0,0",1418/SEE,0,"0.1369/5,963",25/25,Y,,2.5*,10/28/16,CCR
SP1072519,A,SFR/D,1328,Sweetbay LN  ,SLO,SLO,,"$817,000 ",$373.91 ,"4/2,0,0,0",2185/A,1999,"0.1607/7,000",22/22,Y,,2.5,10/31/16,CCR
SP1072170,A,SFR/D,518,Bluerock DR  ,SLO,SLO,,"$825,000 ",$408.82 ,"3/2,0,1,0",2018/A,1999,"0.107/4,661",36/36,Y,,2.5,10/17/16,CCR
SP1072818,A,SFR/D,5295,Ontario RD  ,SLO,SLO,,"$829,000 ",$421.24 ,"3/2,0,1,0",1968/A,1979,"2.39/104,108",Nov-71,Y,,2.5,11/11/16,CCR
SP1072521,A,SFR/D,971,Rachel CT  ,SLO,SLO,,"$836,024 ",$471.00 ,"3/2,1,0,0",1775/SEE,0,"0.1098/4,781",25/25,Y,,2.5*,10/28/16,CCR
SP1071970,A,SFR/D,411,Woodbridge ST  ,SLO,SLO,,"$839,900 ",$303.65 ,"3/2,1,0,0",2766/A,1987,"0.1377/5,998",42/42,Y,,2.5,10/11/16,CCR
SP1072878,A,SFR/D,1932,Corralitos   ,SLO,SLO,,"$849,000 ",$530.62 ,"3/1,1,0,0",1600/S,0,"0.1897/8,263",11-Nov,Y,,2.5,11/11/16,CCR
PI1070586,A,SFR/D,1309,Richard ST  ,SLO,SLO,,"$899,000 ",$312.70 ,"4/1,2,0,0",2875/A,1950,"0.74/32,234",86/86,Y,,2.5,8/28/16,CCR
SC1071578,A,SFR/A,229,Luneta DR  ,SLO,SLO,,"$899,000 ",$455.19 ,"4/1,1,0,0",1975/AP,0,"0.2235/9,736",57/57,Y,,2,9/26/16,CCR
SP1071690,A,SFR/D,2310,Sunset DR  ,SLO,SLO,,"$899,000 ",$365.45 ,"4/2,1,0,0",2460/A,1983,"0.2727/11,879",63/63,Y,,2.5,9/20/16,CCR
SP1067074,A,SFR/D,172,Highland DR  ,SLO,SLO,,"$919,000 ",$405.56 ,"4/2,1,0,0",2266/A,1959,"0.23/10,001",187/187,Y,,2.5,5/19/16,CCR
SP1073032,A,SFR/D,5640,Pinehurst WY  ,SLO,SLO,,"$945,000 ",$363.46 ,"4/3,0,0,0",2600/SEE,1989,"0.2655/11,566",2-Feb,Y,,2.5,11/20/16,CCR
SC1070620,A,SFR/D,2437,Cumbre CT  ,SLO,SLO,,"$949,000 ",$324.78 ,"4/2,0,1,0",2922/A,1985,"0.2525/10,999",85/85,Y,,2.5,8/29/16,CCR
SP1072865,A,SFR/D,1346,Peach   ,SLO,SLO,,"$950,000 ",$226.19 ,"6/3,1,1,0",4200/S,1910,"0.1631/7,105",13/13,Y,,2,11/9/16,CCR
SP1072335,A,SFR/D,870,Casitas CT  ,SLO,SLO,,"$959,000 ",$260.46 ,"4/3,0,1,0",3682/A,1989,"0.1377/5,998",29/29,Y,,2.5,10/24/16,CCR
SP1070850,A,SFR/D,800,Del Rio   ,SLO,SLO,,"$989,000 ",$287.50 ,"4/4,0,0,0",3440/A,1978,"0.1832/7,980",80/216,Y,,2,9/3/16,CCR
SP1067640,A,SFR/D,279,Lawrence DR  ,SLO,SLO,,"$995,000 ",$390.66 ,"3/2,0,1,0",2547/A,2013,"0.2024/8,817",178/178,Y,,3,5/28/16,CCR
16162156,A,SFR/D,279,Lawrence DR  ,SLO,SLO,STD,"$995,000 ",,"3/2,0,1,0",,2013,"0.2024/8,817",70/70,Y,N,3,9/13/16,CLAW
SP1069333,A,SFR/D,470,Pismo ST  ,SLO,SLO,,"$1,200,000 ",$465.48 ,"5/3,0,0,0",2578/A,1941,"0.1722/7,501",125/125,Y,,2.5,7/20/16,CCR
SC1052854,A,SFR/D,1680,San Luis DR  ,SLO,SLO,,"$1,225,000 ",$426.24 ,"3/2,1,0,0",2874/SEE,1940,"0.3214/14,000",728/728,Y,,2.5,11/3/14,CCR
SC1068168,A,SFR/D,815,Greystone PL  ,SLO,SLO,,"$1,250,000 ",$357.14 ,"4/2,1,0,0",3500/AP,1999,"0.2286/9,958",155/155,Y,,2,6/20/16,CCR
SP1065023,A,SFR/A,2061,Fixlini ST   #Lot13,SLO,SLO,,"$1,269,000 ",$455.49 ,"4/4,0,0,0",2786/B,2016,"0.1584/6,901",239/239,Y,,2.5,3/28/16,CCR
SP1073013,A,SFR/D,219,Mission LN  ,SLO,SLO,,"$1,349,000 ",$435.16 ,"4/3,0,0,0",3100/SEE,1985,"0.2755/12,001",5-May,Y,,2,11/17/16,CCR
SP1071937,A,SFR/D,733,Greystone PL  ,SLO,SLO,,"$1,485,000 ",$424.29 ,"5/4,0,1,0",3500/S,2000,"0.2784/12,127",45/45,Y,,2.5,10/8/16,CCR
SP1072321,A,SFR/D,580,Oakridge DR  ,SLO,SLO,,"$1,595,000 ",$646.80 ,"4/1,1,1,0",2466/A,1969,"0.2984/12,998",29/29,Y,,2,10/24/16,CCR
SP1071538,A,SFR/D,820,Via Laguna Vista   ,SLO,SLO,,"$1,695,000 ",$325.40 ,"5/4,0,1,0",5209/AP,2004,"0.95/41,382",15/15,Y,,2.5,9/26/16,CCR
SP1071549,A,SFR/D,6150,Balm Ridge WY  ,SLO,SLO,,"$1,899,000 ",$583.77 ,"4/2,1,0,0",3253/SEE,2000,"16.27/708,721",57/162,Y,,2.25,9/26/16,CCR
SP1071600,A,SFR/A,672,Oakridge   ,SLO,SLO,,"$1,950,000 ",$375.72 ,"5/5,0,2,0",5190/A,1996,"3.31/144,184",56/255,Y,,2.5,9/27/16,CCR
PI1061786,A,SFR/D,1142,Marsh ST  ,SLO,SLO,,"$2,100,000 ",$648.95 ,"3/3,0,2,0",3236/S,0,"0.051/2,200",543/543,Y,,2,5/29/15,CCR
PI1065952,A,SFR/D,103,Twin Ridge DR  ,SLO,SLO,,"$2,195,500 ",$410.37 ,"4/4,0,1,0",5350/S,1997,"0.78/33,976",218/579,Y,,1.75,4/18/16,CCR
SP1070857,A,SFR/D,663,Hill ST  ,SLO,SLO,,"$2,200,000 ",$814.81 ,"3/2,0,1,0",2700/S,1986,"2/87,120",82/82,Y,,2,9/1/16,CCR
SP1064514,A,SFR/D,550,Bassi   ,SLO,SLO,,"$2,325,000 ",$837.54 ,"3/2,0,1,0",2776/A,1998,"2.48/108,029",632/632,Y,,2.5,3/1/15,CCR
SC1070314,A,SFR/D,1425,New Wine PL  ,TTON,TTON,,"$675,000 ",$280.55 ,"3/2,0,0,0",2406/A,1985,"0.92/40,075",102/102,Y,Y,2.5,8/12/16,CCR
SC1072273,A,SFR/D,685,Allen CT  ,TTON,TTON,,"$689,000 ",$313.18 ,"4/2,0,0,0",2200/SEE,1988,"1.06/46,174",52/52,Y,,2.5,10/1/16,CCR
PR1063314,A,SFR/D,3150,Highway 41   ,TTON,TTON,,"$825,000 ",$215.63 ,"5/4,0,0,0",3826/A,1982,"5.3/230,868",268/268,Y,,3,4/8/16,CCR
PI1072973,A,SFR/D,1050,Semillon LN  ,TTON,TTON,,"$835,000 ",$295.58 ,"4/2,0,1,0",2825/A,2004,"0.3035/13,220",5-May,Y,,2.25,11/17/16,CCR
PR1061626,A,SFR/D,3935,High Laurel LN  ,TTON,TTON,,"$880,000 ",$415.68 ,"3/1,1,1,0",2117/A,1980,"49.89/2,173,208",352/536,Y,,2.5,12/6/15,CCR
SP1063992,A,SFR/D,2045,Calle Pattito   ,TTON,TTON,,"$950,000 ",$229.58 ,"4/3,0,0,0",4138/A,2002,"1.082/47,149",266/266,Y,,2.5,3/1/16,CCR
PR1059868,A,SFR/A,1210,Fire Rock LP  ,TTON,TTON,,"$999,000 ",$293.82 ,"4/2,2,0,0",3400/S,2015,"1.75/76,230",412/412,Y,,2.5,10/1/15,CCR
PR1065922,A,SFR/D,155,Frontier WY  ,TTON,TTON,,"$999,950 ",$333.32 ,"4/2,0,1,0",3000/S,1999,"2.1/91,476",216/216,Y,,2.5,4/20/16,CCR
SP1069934,A,SFR/D,4015,Almond DR  ,TTON,TTON,,"$1,100,000 ",$350.54 ,"5/3,2,0,0",3138/AP,1989,"4.72/205,603",108/182,Y,Y,2,8/6/16,CCR
